frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
1,0,0,"1,94268",0,"2,64837","0,0270969",0,0,0,"0,1",1,"-0,437901","-2,33259"
2,0,0,"5,19266",0,"2,78736","0,0143865",0,0,0,"0,19",1,"-0,7361","-2,6198"
3,0,0,"5,78174",0,"2,82341","0,0103903",0,0,0,"0,271",1,"-0,774303","-2,65469"
4,0,0,"6,07205",0,"2,84094","0,00785322",0,0,0,"0,3439",1,"-0,779379","-2,65929"
5,0,0,"6,25421",0,"2,85224","0,00632197",0,0,0,"0,40951",1,"-0,77424","-2,65464"
6,0,0,"6,36492",0,"2,85892","0,00728411",0,0,0,"0,468559",1,"-0,763037","-2,64445"
7,0,0,"6,47878",0,"2,86672","0,00646337",0,0,0,"0,521703",1,"-0,754933","-2,63706"
8,0,0,"6,55525",0,"2,87171","0,00582511",0,0,0,"0,569533",1,"-0,744726","-2,62772"
9,0,0,"6,60731",0,"2,87472","0,0053093",0,0,0,"0,61258",1,"-0,733748","-2,61763"
10,0,0,"6,6363",0,"2,87633","0,00498294",0,0,0,"0,651322",1,"-0,722206","-2,60699"
11,0,0,"6,67883",0,"2,87736","0,00470016",0,0,0,"0,686189",1,"-0,713151","-2,59861"
12,0,0,"6,70746",0,"2,87688","0,00445355",0,0,0,"0,71757",1,"-0,703953","-2,59007"
13,0,0,"6,73452",0,"2,87583","0,00420368",0,0,0,"0,745813",1,"-0,695712","-2,58239"
14,0,0,"6,75818",0,"2,87405","0,00416708",0,0,0,"0,771232",1,"-0,688085","-2,57527"
15,0,0,"6,7765",0,"2,8725","0,0043083",0,0,0,"0,794109",1,"-0,681079","-2,56871"
16,0,0,"6,77328",0,"2,86991","0,00431394",0,0,0,"0,814698",1,"-0,67313","-2,56126"
17,0,0,"6,78815",0,"2,87074","0,00442669",0,0,0,"0,833228",1,"-0,668154","-2,55658"
18,0,0,"6,78615",0,"2,87395","0,00427309",0,0,0,"0,849905",1,"-0,663307","-2,55201"
19,396,396,"6,78874",0,"2,87989","0,00412526",0,0,0,"0,864915",1,"-1,26572","-3,05604"
20,"438,5","438,5","6,7908",0,"2,8887","0,00426307",0,0,0,"0,878423",1,"-1,13997","-2,96223"
21,457,457,"6,81454",0,"2,89759","0,00411984",0,0,0,"0,890581",1,"-1,07841","-2,91401"
22,457,457,"6,8302",0,"2,90587","0,00404979",0,0,0,"0,901523",1,"-1,08353","-2,91808"
23,457,457,"6,83858",0,"2,91275","0,00390798",0,0,0,"0,911371",1,"-1,08751","-2,92124"
24,457,457,"6,84575",0,"2,91895","0,00383198",0,0,0,"0,920234",1,"-1,09105","-2,92404"
25,457,457,"6,82384",0,"2,92334","0,00372076","10,1257","25,0724",0,"0,92821",1,"-2,29313","-3,59489"
26,457,457,"6,82015",0,"2,92669","0,00359833","9,11978","24,6638",0,"0,935389",1,"-2,1931","-3,55844"
27,457,457,"6,83406",0,"2,92927","0,00361025","8,41764","24,5834",0,"0,94185",1,"-2,12379","-3,53141"
28,457,457,"6,82339","9,97628","2,9304","0,00350088","10,053","27,442",0,"0,947665",1,"-2,3672","-3,62002"
29,457,457,"6,82839","10,2507","2,93494","0,00339018","10,617","26,8513","0,274008","0,952899",1,"-2,451","-3,64666"
30,457,457,"6,82543","10,0598","2,93985","0,00334674","9,42186","24,5725","0,23745","0,957609",1,"-2,33259","-3,60847"
31,457,457,"6,82612","10,1765","2,94562","0,00326426","9,53634","22,7119","0,249142","0,961848",1,"-2,34221","-3,61172"
32,457,457,"6,83751","9,84783","2,95106","0,00320259","9,08654","21,1168","0,236205","0,965663",1,"-2,29452","-3,59537"
33,457,457,"6,83673","9,46111","2,95541","0,00320059","8,82949","20,2345","0,223998","0,969097",1,"-2,26462","-3,5848"
34,457,457,"6,83818","9,3303","2,95864","0,00316768","8,98655","19,6038","0,218768","0,972187",1,"-2,27791","-3,58953"
35,457,457,"6,82995","9,35395","2,96125","0,00321775","9,51215","20,3306","0,213322","0,974968",1,"-2,32913","-3,6073"
36,457,457,"6,80751","9,56766","2,96201","0,0032569","9,74565","21,0659","0,210225","0,977472",1,"-2,35234","-3,6151"
37,457,457,"6,80116","9,72767","2,96215","0,00318034","9,58959","21,1909","0,214764","0,979724",1,"-2,33974","-3,61088"
38,457,457,"6,80441","9,82387","2,96239","0,00310979","9,56408","21,4061","0,212358","0,981752",1,"-2,33919","-3,6107"
39,"451,25","451,25","6,80163","9,80052","2,96358","0,00313956","9,5606","21,4632","0,218704","0,983577",1,"-2,36102","-3,61799"
40,"462,2","462,2","6,80263","9,72736","2,96664","0,00308382","9,58134","21,4352","0,230634","0,985219",1,"-2,32263","-3,60508"
41,"457,167","457,167","6,79377","9,72477","2,96974","0,00302231","9,63929","21,4083","0,23366","0,986697",1,"-2,34723","-3,6134"
42,"461,286","461,286","6,78765","9,71087","2,97215","0,00312119","9,55591","21,3298","0,228959","0,988027",1,"-2,32228","-3,60496"
43,"457,5","457,5","6,7793","9,66958","2,97405","0,00313604","9,44521","20,8028","0,226762","0,989225",1,"-2,32437","-3,60568"
44,"448,333","448,333","6,77899","9,63845","2,97574","0,00312626","9,48681","21,3482","0,224945","0,990302",1,"-2,36272","-3,61855"
45,"448,333","448,333","6,78021","9,59835","2,97742","0,0030654","9,48113","21,2828","0,223572","0,991272",1,"-2,36191","-3,61828"
46,"448,333","448,333","6,7823","9,54334","2,97901","0,0030651","9,36532","21,2953","0,225051","0,992145",1,"-2,35128","-3,61475"
47,"448,333","448,333","6,78745","9,48904","2,98038","0,0038804","9,27432","21,321","0,22648","0,99293",1,"-2,34339","-3,61211"
48,"448,333","448,333","6,78479","9,42629","2,9814","0,00386674","9,25834","21,4864","0,226504","0,993637",1,"-2,3417","-3,61154"
49,"448,333","448,333","6,79164","9,33538","2,98247","0,00379532","9,12561","21,2198","0,223666","0,994274",1,"-2,32846","-3,60707"
50,"448,333","448,333","6,79571","9,25391","2,98353","0,00382488","9,05284","21,2944","0,220806","0,994846",1,"-2,32134","-3,60464"
51,"448,333","448,333","6,786","9,18787","2,98424","0,00392544","9,03258","21,2169","0,219469","0,995362",1,"-2,31782","-3,60344"
52,"448,333","448,333","6,77729","9,15438","2,98425","0,00389312","9,12557","21,3691","0,221682","0,995825",1,"-2,32631","-3,60634"
53,"448,333","448,333","6,77526","9,14972","2,98463","0,00389104","9,10418","21,6906","0,222432","0,996243",1,"-2,32491","-3,60586"
54,"448,333","448,333","6,77009","9,18677","2,98699","0,00402254","9,20561","21,6104","0,225416","0,996619",1,"-2,33431","-3,60905"
55,"448,333","448,333","6,76049","9,26939","2,98845","0,00402237","9,35817","21,6771","0,224767","0,996957",1,"-2,34831","-3,61376"
56,"448,333","448,333","6,73209","9,35853","2,98857","0,00395924","9,47406","21,8873","0,223521","0,997261",1,"-2,35737","-3,61678"
57,"448,333","448,333","6,71569","9,46931","2,98784","0,00394522","9,49999","22,2627","0,221431","0,997535",1,"-2,35963","-3,61753"
58,"448,333","448,333","6,71179","9,5676","2,98693","0,0038929","9,52615","22,412","0,223097","0,997781",1,"-2,36298","-3,61863"
59,"448,333","448,333","6,71577","9,62466","2,98613","0,00392156","9,52624","22,7303","0,224027","0,998003",1,"-2,36467","-3,61919"
60,"448,333","448,333","6,71978","9,6576","2,98672","0,0038817","9,57599","22,9307","0,227008","0,998203",1,"-2,37064","-3,62115"
61,"448,333","448,333","6,72414","9,67714","2,98781","0,0038324","9,5705","22,9393","0,2276","0,998383",1,"-2,37069","-3,62117"
62,"440,7","440,7","6,71967","9,71028","2,98845","0,0038236","9,66503","23,118","0,226859","0,998544",1,"-2,40451","-3,63212"
63,"441,636","441,636","6,71492","9,73415","2,98903","0,00377977","9,6406","22,9887","0,226686","0,99869",1,"-2,39871","-3,63026"
64,"435,25","435,25","6,7049","9,75722","2,9898","0,00390229","9,6863","22,8404","0,231755","0,998821",1,"-2,42173","-3,63757"
65,"430,308","430,308","6,70004","9,78011","2,99058","0,00384864","9,68287","22,6732","0,231416","0,998939",1,"-2,43459","-3,64159"
66,"426,143","426,143","6,69854","9,7514","2,99129","0,00380932","9,57991","22,4251","0,229781","0,999045",1,"-2,43534","-3,64183"
67,"422,467","422,467","6,69632","9,72723","2,9924","0,00376534","9,57085","22,2377","0,229919","0,99914",1,"-2,44296","-3,64419"
68,"424,312","424,312","6,68759","9,71053","2,99283","0,00372622","9,64152","22,1895","0,22932","0,999226",1,"-2,44359","-3,64438"
69,"420,824","420,824","6,6815","9,71138","2,99335","0,00367776","9,70057","22,121","0,232868","0,999304",1,"-2,45693","-3,64848"
70,"418,5","418,5","6,67669","9,7725","2,99409","0,00366315","9,79487","22,1451","0,231226","0,999373",1,"-2,47023","-3,65252"
71,"417,579","417,579","6,67375","9,82433","2,99516","0,00363478","9,76002","22,1528","0,231038","0,999436",1,"-2,4692","-3,65221"
72,"416,4","416,4","6,67194","9,84294","2,99638","0,00362076","9,71564","22,2128","0,229543","0,999492",1,"-2,46773","-3,65176"
73,"415,762","415,762","6,66795","9,8333","2,9974","0,00361135","9,66589","22,2014","0,228003","0,999543",1,"-2,46408","-3,65066"
74,"415,762","415,762","6,66166","9,79434","2,99781","0,00357711","9,60942","22,2181","0,226635","0,999589",1,"-2,45812","-3,64884"
75,"415,762","415,762","6,65206","9,7602","2,99775","0,00353959","9,60431","22,3017","0,225546","0,99963",1,"-2,45654","-3,64836"
76,"415,762","415,762","6,64421","9,73788","2,99714","0,00357783","9,61904","22,379","0,224013","0,999667",1,"-2,45689","-3,64847"
77,"415,762","415,762","6,63744","9,7204","2,99636","0,00372976","9,606","22,4716","0,222503","0,9997",1,"-2,45497","-3,64788"
78,"415,762","415,762","6,64011","9,7196","2,99591","0,00368829","9,61404","22,5811","0,223337","0,99973",1,"-2,45626","-3,64828"
