frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
1,747,747,"0,542069",0,"2,73115","0,0141304",0,0,0,"0,1",1,"0,461518","-1,40383"
2,"744,5","744,5","4,89653",0,"2,87275","0,00837517",0,0,0,"0,19",1,"0,344459","-1,52185"
3,690,690,"5,27087",0,"2,9274","0,0091039",0,0,0,"0,271",1,"0,159188","-1,7132"
4,"707,75","707,75","5,44643",0,"2,96093","0,00749882",0,0,0,"0,3439",1,"0,191941","-1,67908"
5,"718,2","718,2","5,49911",0,"2,98027","0,00658114",0,0,0,"0,40951",1,"0,207891","-1,6625"
6,"703,667","703,667","5,5304",0,"2,99222","0,00610219",0,0,0,"0,468559",1,"0,149351","-1,72347"
7,"706,571","706,571","5,50998",0,"3,00613","0,00557745",0,0,0,"0,521703",1,"0,146594","-1,72635"
8,"708,625","708,625","5,5076",0,"3,01515","0,005298",0,0,0,"0,569533",1,"0,141714","-1,73145"
9,"712,667","712,667","5,47218",0,"3,0215","0,0056892",0,0,0,"0,61258",1,"0,144928","-1,72809"
10,"718,1","718,1","5,47175",0,"3,02875","0,00520867",0,0,0,"0,651322",1,"0,152911","-1,71976"
11,"718,182","718,182","5,45144",0,"3,03399","0,00479766",0,0,0,"0,686189",1,"0,145411","-1,72759"
12,"708,25","708,25","5,45382",0,"3,03711","0,00462738",0,0,0,"0,71757",1,"0,10554","-1,76929"
13,"701,538","701,538","5,43261",0,"3,03796","0,00442759",0,0,0,"0,745813",1,"0,0769686","-1,79922"
14,"703,5","703,5","5,43235",0,"3,04045","0,00467114",0,0,0,"0,771232",1,"0,0765604","-1,79965"
15,"704,667","704,667","5,45338",0,"3,04337","0,00454013",0,0,0,"0,794109",1,"0,073585","-1,80277"
16,"705,188","705,188","5,46942",0,"3,04397","0,00477415",0,0,0,"0,814698",1,"0,0690179","-1,80756"
17,"705,647","705,647","5,48946",0,"3,04469","0,00584555",0,0,0,"0,833228",1,"0,0643586","-1,81245"
18,"708,833","708,833","5,4943",0,"3,04625","0,00563439",0,0,0,"0,849905",1,"0,0703632","-1,80615"
19,"711,684","711,684","5,50039",0,"3,04782","0,00541646",0,0,0,"0,864915",1,"0,0756887","-1,80056"
20,"713,75","713,75","5,50086",0,"3,04948","0,00521103",0,0,0,"0,878423",1,"0,0790112","-1,79708"
21,"714,619","714,619","5,49083",0,"3,05138","0,00498629",0,0,0,"0,890581",1,"0,0790785","-1,79701"
22,"711,545","711,545","5,49602",0,"3,05285","0,0049005",0,0,0,"0,901523",1,"0,0655022","-1,81125"
23,"707,826","707,826","5,49651",0,"3,05401","0,00510504",0,0,0,"0,911371",1,"0,0499952","-1,82752"
24,"708,5","708,5","5,49335",0,"3,05581","0,0049372",0,0,0,"0,920234",1,"0,0500135","-1,8275"
25,"709,04","709,04","5,48428",0,"3,05726","0,00597479","7,8029","9,26066",0,"0,92821",1,"-0,345223","-2,23893"
26,"710,462","710,462","5,47057",0,"3,05885","0,00578187","6,4486","9,25352",0,"0,935389",1,"-0,261314","-2,15283"
27,"711,778","711,778","5,45822",0,"3,05974","0,00579132","5,85269","9,11622",0,"0,94185",1,"-0,224036","-2,11426"
28,"706,321","706,321","5,4453","5,40746","3,06025","0,00610322","5,50011","8,87555",0,"0,947665",1,"-0,201322","-2,09068"
29,"706,414","706,414","5,43313","5,19181","3,06055","0,00597294","5,55315","9,0134","0,141678","0,952899",1,"-0,229973","-2,12041"
