frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
1,921,509,"1,27621",0,"2,87139","0,0163445",0,0,0,"0,1",1,"0,525601","-1,34048"
2,"693,5","487,5","-1,12797",0,"2,67886","0,0567479",0,0,0,"0,19","0,5","0,193359","-1,6776"
3,"693,5","487,5","-2,88745",0,"2,50773","0,109806",0,0,0,"0,271","0,333333","0,285308","-1,58244"
4,610,"472,667","-4,13632",0,"2,38359","0,113232",0,0,0,"0,326486","0,25","0,229868","-1,6397"
5,552,449,"-5,10034",0,"2,38359","0,111061",0,0,0,"0,326486","0,2","0,201972","-1,66865"
6,552,449,"-4,5286",0,"2,38989","0,100043",0,0,0,"0,364481","0,333333","0,213612","-1,65656"
7,552,449,"-1,00593",0,"2,49965","0,085822",0,0,0,"0,428033","0,428571","-0,139824","-2,02658"
8,552,449,"0,712286",0,"2,57382","0,0750943",0,0,0,"0,48523","0,5","-0,306723","-2,19956"
9,552,449,"1,69912",0,"2,62243","0,0667507",0,0,0,"0,536707","0,555556","-0,405042","-2,29957"
10,552,449,"2,34161",0,"2,65603","0,0600766",0,0,0,"0,583036","0,6","-0,472055","-2,36665"
11,552,449,"2,81544",0,"2,6799","0,0546271",0,0,0,"0,624732","0,636364","-0,523996","-2,41794"
12,552,449,"3,14642",0,"2,69576","0,0500755",0,0,0,"0,662259","0,666667","-0,562051","-2,45509"
13,552,449,"3,17931",0,"2,69857","0,0462263",0,0,0,"0,696033","0,692308","-0,566981","-2,45988"
14,552,449,"3,21065",0,"2,69914","0,042935",0,0,0,"0,72643","0,714286","-0,571021","-2,46379"
15,552,449,"3,40875",0,"2,70419","0,0400763",0,0,0,"0,753787","0,733333","-0,594955","-2,4869"
16,552,449,"3,27755",0,"2,69702","0,0381469",0,0,0,"0,778408","0,75","-0,578111","-2,47066"
17,"514,4",432,"3,01651",0,"2,67144","0,0394322",0,0,0,"0,800567","0,705882","-0,665295","-2,55389"
18,"489,5","420,833","2,76832",0,"2,67144","0,044286",0,0,0,"0,800567","0,666667","-0,71348","-2,59891"
19,"488,286","429,429","2,53356",0,"2,67144","0,0433935",0,0,0,"0,800567","0,631579","-0,692001","-2,57893"
20,"488,375","436,875","2,31082",0,"2,67144","0,0540561",0,0,0,"0,800567","0,6","-0,668822","-2,55721"
21,"489,111","443,333","2,09894",0,"2,67144","0,0531808",0,0,0,"0,800567","0,571429","-0,642746","-2,53257"
22,"489,1","447,9","1,89693",0,"2,67144","0,0560901",0,0,0,"0,800567","0,545455","-0,62107","-2,51194"
23,"489,1","447,9","1,70389",0,"2,67144","0,0549693",0,0,0,"0,800567","0,521739","-0,606923","-2,4984"
24,"484,545","447,091","1,51908",0,"2,67144","0,0564993",0,0,0,"0,800567","0,5","-0,602754","-2,4944"
25,"480,667","446,333","1,34181",0,"2,67144","0,0617728","0,533639","0,228677",0,"0,800567","0,48","-0,657149","-2,5462"
26,"480,667","446,333","1,17149",0,"2,67144","0,0639412","0,570876","0,184968",0,"0,800567","0,461538","-0,647935","-2,53749"
27,"480,667","446,333","1,0076",0,"2,67144","0,0639042","0,683539","0,679964",0,"0,800567","0,444444","-0,648053","-2,5376"
28,"480,667","446,333","0,849688","0,75852","2,67144","0,0649956","0,755309","0,689307",0,"0,800567","0,428571","-0,648695","-2,53821"
29,"480,667","446,333","0,697321","0,787141","2,67144","0,0646871","0,750424","0,689137","0,0181079","0,800567","0,413793","-0,637809","-2,52788"
30,480,"448,308","0,550103","0,852424","2,67144","0,067402","0,858557","0,584411","0,0128378","0,800567","0,4","-0,633751","-2,52403"
31,"480,071","450,643","0,407714","0,887501","2,67144","0,0777596","0,885249","0,659698","0,0153819","0,800567","0,387097","-0,621911","-2,51274"
32,"480,071","450,643","0,269841","0,928446","2,67144","0,0792274","0,97337","0,837386","0,016995","0,800567","0,375","-0,620485","-2,51138"
33,"480,071","450,643","0,136211","0,952293","2,67144","0,0830808","0,935989","0,865035","0,0160188","0,800567","0,363636","-0,605783","-2,49731"
34,"479,6","452,133","0,00657431","0,942175","2,67144","0,0840613","0,894142","0,832184","0,0157936","0,800567","0,352941","-0,587553","-2,47977"
35,"479,438","453,688","-0,119303","0,929463","2,67144","0,0833629","0,886482","0,846755","0,0155243","0,800567","0,342857","-0,572302","-2,46504"
36,"478,118","453,882","-0,241625","0,899145","2,67144","0,0842131","0,855781","0,798359","0,0145377","0,800567","0,333333","-0,559932","-2,45303"
37,"471,111","448,222","-0,360591","0,872445","2,67144","0,0841116","0,840907","0,771459","0,0152813","0,800567","0,324324","-0,571825","-2,46457"
38,473,"451,316","-0,476382","0,860144","2,67144","0,0856711","0,859426","0,789333","0,0150821","0,800567","0,315789","-0,553884","-2,44715"
