frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
1,921,748,"2,77799",0,"3,21875","0,00493641",0,0,0,"0,1",1,"0,6134","-1,25539"
2,"834,5",748,"0,382892",0,"3,00355","0,0216639",0,0,0,"0,19",1,"0,541747","-1,32468"
3,799667,742,"-1,37713",0,"2,82746","0,0325653",0,0,0,"0,232464","0,666667","0,614681","-1,25417"
4,"791,25",748,"-2,6263",0,"2,82746","0,0782826",0,0,0,"0,232464","0,5","0,66031","-1,21081"
5,"785,4","750,8","-3,59526",0,"2,82746","0,0803061",0,0,0,"0,232464","0,4","0,70166","-1,17207"
6,776167,747333,"-4,38687",0,"2,82746","0,113673",0,0,0,"0,232464","0,333333","0,699726","-1,17387"
7,773,748286,"-5,05616",0,"2,82746","0,119598",0,0,0,"0,232464","0,285714","0,718837","-1,15613"
8,766875,"745,25","-5,63598",0,"2,82746","0,12193",0,0,0,"0,232464","0,25","0,724102","-1,15126"
9,764444,745222,"-6,14726",0,"2,82746","0,118647",0,0,0,"0,232464","0,222222","0,738572","-1,13793"
10,"764,7","747,4","-6,60471",0,"2,82746","0,137105",0,0,0,"0,232464","0,2","0,74687","-1,13032"
11,764727,749,"-7,01853",0,"2,82746","0,138973",0,0,0,"0,232464","0,181818","0,760259","-1,11808"
12,761,746583,"-7,39629",0,"2,82746","0,134947",0,0,0,"0,232464","0,166667","0,763583","-1,11505"
13,753385,740077,"-7,74373",0,"2,82746","0,139665",0,0,0,"0,232464","0,153846","0,749843","-1,12759"
14,752714,740357,"-8,06526",0,"2,82746","0,15261",0,0,0,"0,232464","0,142857","0,751187","-1,12636"
15,752133,"740,6","-8,36481",0,"2,82746","0,149789",0,0,0,"0,232464","0,133333","0,759588","-1,11869"
16,750938,740125,"-8,64502",0,"2,82746","0,161309",0,0,0,"0,232464",125,"0,758397","-1,11978"
