frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
1,493,467,"-1,73741",0,"2,47665","0,238189",0,0,0,"0,1",1,"0,221229","-1,64865"
2,493,467,"-2,81905",0,"2,327","0,157123",0,0,0,"0,19",1,"0,415614","-1,44978"
3,493,467,"-3,66198",0,"2,21435","0,143968",0,0,0,"0,271","0,666667","0,252475","-1,6163"
4,461,448,"-4,16746",0,"2,13496","0,148538",0,0,0,"0,3439","0,5","0,158079","-1,71436"
5,"433,333","424,667","-4,5131",0,"2,08066","0,133174",0,0,0,"0,40951","0,4","0,0982358","-1,77694"
6,"433,333","424,667","-4,68838",0,"2,05042","0,130423",0,0,0,"0,468559","0,5","0,226739","-1,64294"
7,"433,333","424,667","-4,74257",0,"2,02551","0,131801",0,0,0,"0,521703","0,571429","0,31882","-1,54805"
8,"444,25","437,75","-4,97223",0,"1,98359","0,127676",0,0,0,"0,569533","0,5","0,296471","-1,57097"
9,"448,8","443,6","-5,16108",0,"1,95665","0,133929",0,0,0,"0,61258","0,555556","0,39635","-1,4692"
10,"443,5","439,167","-5,22044",0,"1,94056","0,134371",0,0,0,"0,651322","0,6","0,457766","-1,40757"
11,"445,714",442,"-5,39406",0,"1,90768","0,129814",0,0,0,"0,686189","0,545455","0,436894","-1,42842"
12,"440,125","436,875","-5,42099",0,"1,89362","0,12715",0,0,0,"0,71757","0,583333","0,484607","-1,38089"
13,"431,556","428,667","-5,45942",0,"1,8675","0,128468",0,0,0,"0,745813","0,615385","0,52662","-1,33948"
14,"429,3","426,7","-5,48047",0,"1,85848","0,131631",0,0,0,"0,771232","0,642857","0,560525","-1,30639"
15,"429,3","426,7","-5,56266",0,"1,84244","0,135278",0,0,0,"0,794109","0,6","0,531312","-1,33489"
16,"429,3","426,7","-5,26206",0,"1,85636","0,132326",0,0,0,"0,814698","0,625","0,504751","-1,36098"
17,"424,273","421,909","-4,89482",0,"1,90748","0,152442",0,0,0,"0,833228","0,647059","0,451296","-1,41402"
18,"422,417","420,25","-4,72727",0,"1,92686","0,152491",0,0,0,"0,849905","0,666667","0,438582","-1,42673"
19,"426,846","424,846","-4,16253",0,"1,98903","0,155077",0,0,0,"0,864915","0,684211","0,354144","-1,51199"
20,"431,286","429,429","-4,16255",0,"1,97854","0,157761",0,0,0,"0,878423","0,7","0,377491","-1,48828"
21,"435,467","433,733","-4,1983",0,"1,97522","0,160898",0,0,0,"0,890581","0,714286","0,403955","-1,46152"
22,"438,812","437,188","-4,26293",0,"1,96803","0,165312",0,0,0,"0,901523","0,727273","0,433773","-1,43155"
23,"438,812","437,188","-4,35378",0,"1,96475","0,162199",0,0,0,"0,911371","0,73913","0,463117","-1,40224"
24,"438,824","437,294","-4,40734",0,"1,96515","0,171518",0,0,0,"0,920234","0,75","0,483821","-1,38167"
25,"438,824","437,294","-4,50976",0,"1,95214","0,170125","20,5008","11,5797",0,"0,92821","0,72","-1,97863","-3,46985"
