frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
1,748,748,"0,396441",0,"2,90188","0,0660597",0,0,0,"0,1",1,"0,43154","-1,43379"
2,"747,5","747,5","-1,23905",0,"2,69339","0,214479",0,0,0,"0,19",1,"0,434709","-1,43061"
3,"741,333","741,333","-2,13482",0,"2,57938","0,21455",0,0,0,"0,271",1,"0,462363","-1,40299"
4,"747,5","747,5","-3,01148",0,"2,46904","0,19125",0,0,0,"0,3439",1,"0,529067","-1,33709"
5,"750,2","750,2","-3,65375",0,"2,37906","0,186825",0,0,0,"0,40951",1,"0,58032","-1,28721"
6,"744,5","742,667","-3,77704",0,"2,34371","0,248196",0,0,0,"0,468559",1,"0,572541","-1,29473"
7,"745,857","744,286","-4,17106",0,"2,29844","0,226956",0,0,0,"0,521703","0,857143","0,590773","-1,27712"
8,"743,125","741,75","-4,46394",0,"2,25664","0,212525",0,0,0,"0,569533","0,875","0,619717","-1,24935"
9,"743,333","742,111","-4,47824",0,"2,23272","0,215891",0,0,0,"0,61258","0,888889","0,630742","-1,23884"
10,"745,7","744,6","-4,70284",0,"2,21573","0,211192",0,0,0,"0,651322","0,9","0,65794","-1,21305"
11,"743,364","742,364","-4,95148",0,"2,18071","0,212597",0,0,0,"0,686189","0,909091","0,686275","-1,18642"
12,"741,417","740,5","-5,2177",0,"2,14681","0,222772",0,0,0,"0,71757","0,833333","0,688617","-1,18423"
13,"735,308","734,462","-5,22551",0,"2,12581","0,234617",0,0,0,"0,745813","0,846154","0,69335","-1,17981"
14,"735,929","735,143","-5,36132",0,"2,10123","0,229247",0,0,0,"0,771232","0,785714","0,694143","-1,17907"
15,"736,533","735,8","-5,5269",0,"2,07984","0,232603",0,0,0,"0,794109","0,733333","0,697273","-1,17615"
16,"736,312","735,625","-5,72043",0,"2,05463","0,231061",0,0,0,"0,814698","0,6875","0,70613","-1,16791"
17,"737,765","737,118","-5,61664",0,"2,04029","0,230452",0,0,0,"0,833228","0,705882","0,711695","-1,16274"
18,"739,167","738,556","-5,74802",0,"2,01817","0,233328",0,0,0,"0,849905","0,666667","0,717952","-1,15695"
19,"740,474","739,895","-5,86148",0,"2,00193","0,23824",0,0,0,"0,864915","0,684211","0,736654","-1,13969"
20,"741,15","740,6","-5,8095",0,"2,00728","0,241519",0,0,0,"0,878423","0,7","0,737619","-1,13881"
21,"740,714","740,19","-5,90036",0,"1,99463","0,236006",0,0,0,"0,890581","0,714286","0,755214","-1,12268"
22,"739,773","739,273","-5,97498",0,"1,98013","0,240257",0,0,0,"0,901523","0,727273","0,769287","-1,10986"
23,"735,609","735,13","-5,90028",0,"1,97823","0,239302",0,0,0,"0,911371","0,73913","0,766946","-1,11199"
